"Date","Simple Date","Outdoor Temperature (°C)","Feels Like (°C)","Dew Point (°C)","Wind Speed (km/hr)","Wind Gust (km/hr)","Max Daily Gust (km/hr)","Wind Direction (°)","Hourly Rain (mm/hr)","Event Rain (mm)","Daily Rain (mm)","Weekly Rain (mm)","Monthly Rain (mm)","Total Rain (mm)","Relative Pressure (mmHg)","Humidity (%)","Ultra-Violet Radiation Index","Solar Radiation (W/m^2)","Indoor Temperature (°C)","Indoor Humidity (%)","Absolute Pressure (mmHg)","Outdoor Battery","Indoor Feels Like (°C)","Indoor Dew Point (°C)"
2023-08-31T23:55:00-04:00,2023-08-31 23:55:00,26.7,29.9,24.4,0,0,27.7,89,0,58.4,58.4,61.7,226.3,421.6,761.8,87,0,0,21.8,67,756,1,21.8,15.4
2023-08-31T23:50:00-04:00,2023-08-31 23:50:00,26.8,30,24.4,0.3,1.8,27.7,88,0,58.4,58.4,61.7,226.3,421.6,761.9,87,0,0,21.7,67,756.1,1,21.7,15.3
2023-08-31T23:45:00-04:00,2023-08-31 23:45:00,26.8,30,24.4,0,0,27.7,89,0,58.4,58.4,61.7,226.3,421.6,761.9,87,0,0,21.7,66,756.1,1,21.7,15.1
2023-08-31T23:40:00-04:00,2023-08-31 23:40:00,26.8,30,24.4,1.8,1.8,27.7,97,0,58.4,58.4,61.7,226.3,421.6,761.9,87,0,0,21.7,66,756.1,1,21.7,15.1
2023-08-31T23:35:00-04:00,2023-08-31 23:35:00,26.8,30,24.4,1.4,1.8,27.7,113,0,58.4,58.4,61.7,226.3,421.6,761.9,87,0,0,21.6,65,756.1,1,21.5,14.7
2023-08-31T23:30:00-04:00,2023-08-31 23:30:00,26.8,30,24.4,0,0,27.7,101,0,58.4,58.4,61.7,226.3,421.6,762,87,0,0,21.5,65,756.2,1,21.4,14.6
2023-08-31T23:25:00-04:00,2023-08-31 23:25:00,26.8,30,24.4,1.8,1.8,27.7,88,0,58.4,58.4,61.7,226.3,421.6,762,87,0,0,21.5,64,756.2,1,21.4,14.4
2023-08-31T23:20:00-04:00,2023-08-31 23:20:00,26.8,30,24.4,1.4,1.8,27.7,102,0,58.4,58.4,61.7,226.3,421.6,761.9,87,0,0,21.5,64,756.1,1,21.4,14.4
2023-08-31T23:15:00-04:00,2023-08-31 23:15:00,26.9,30.3,24.5,0.3,1.8,27.7,96,0,58.4,58.4,61.7,226.3,421.6,761.9,87,0,0,21.4,63,756.1,1,21.2,14.1
2023-08-31T23:10:00-04:00,2023-08-31 23:10:00,26.9,30.3,24.5,1.1,1.8,27.7,104,0,58.4,58.4,61.7,226.3,421.6,761.9,87,0,0,21.3,62,756.1,1,21.1,13.7
2023-08-31T23:05:00-04:00,2023-08-31 23:05:00,26.9,30.1,24.3,1.1,1.8,27.7,90,0,58.4,58.4,61.7,226.3,421.6,762.2,86,0,0,21.3,62,756.4,1,21.1,13.7
2023-08-31T23:00:00-04:00,2023-08-31 23:00:00,26.8,29.8,24.2,0.3,1.8,27.7,90,0,58.4,58.4,61.7,226.3,421.6,761.9,86,0,0,21.2,61,756.1,1,21,13.4
2023-08-31T22:55:00-04:00,2023-08-31 22:55:00,26.9,30.1,24.3,2.1,3.5,27.7,67,0,58.4,58.4,61.7,226.3,421.6,761.8,86,0,0,21.1,61,756,1,20.9,13.3
2023-08-31T22:50:00-04:00,2023-08-31 22:50:00,26.9,30.1,24.3,1.1,1.8,27.7,82,0,58.4,58.4,61.7,226.3,421.6,761.8,86,0,0,21.1,60,755.9,1,20.8,13.1
2023-08-31T22:45:00-04:00,2023-08-31 22:45:00,26.9,30.1,24.3,2.9,3.5,27.7,57,0,58.4,58.4,61.7,226.3,421.6,761.9,86,0,0,21,59,756.1,1,20.7,12.7
2023-08-31T22:40:00-04:00,2023-08-31 22:40:00,27,30.4,24.5,3.5,3.5,27.7,57,0,58.4,58.4,61.7,226.3,421.6,761.9,86,0,0,20.9,58,756.1,1,20.6,12.3
2023-08-31T22:35:00-04:00,2023-08-31 22:35:00,27,30.4,24.5,2.9,3.5,27.7,63,0,58.4,58.4,61.7,226.3,421.6,761.8,86,0,0,20.8,58,756,1,20.4,12.2
2023-08-31T22:30:00-04:00,2023-08-31 22:30:00,27.1,30.7,24.6,2.9,3.5,27.7,58,0,58.4,58.4,61.7,226.3,421.6,761.7,86,0,0,20.7,57,755.9,1,20.3,11.9
2023-08-31T22:25:00-04:00,2023-08-31 22:25:00,27.2,30.8,24.5,2.6,3.5,27.7,58,0,58.4,58.4,61.7,226.3,421.6,761.8,85,0,0,20.6,56,756,1,20.2,11.5
2023-08-31T22:20:00-04:00,2023-08-31 22:20:00,27.3,30.9,24.5,2.6,3.5,27.7,69,0,58.4,58.4,61.7,226.3,421.6,761.6,85,0,0,20.4,56,755.8,1,19.9,11.3
2023-08-31T22:15:00-04:00,2023-08-31 22:15:00,27.3,30.9,24.5,2.1,3.5,27.7,58,0,58.4,58.4,61.7,226.3,421.6,761.8,85,0,0,20.3,55,756,1,19.8,10.9
2023-08-31T22:10:00-04:00,2023-08-31 22:10:00,27.4,31.1,24.4,3.5,3.5,27.7,58,0,58.4,58.4,61.7,226.3,421.6,761.8,84,0,0,20.1,56,756,1,19.7,11.1
2023-08-31T22:05:00-04:00,2023-08-31 22:05:00,27.4,31.1,24.4,2.9,3.5,27.7,70,0,58.4,58.4,61.7,226.3,421.6,761.8,84,0,0,19.9,56,755.9,1,19.9,10.8
2023-08-31T22:00:00-04:00,2023-08-31 22:00:00,27.5,31.4,24.5,2.9,3.5,27.7,61,0,58.4,58.4,61.7,226.3,421.6,761.8,84,0,0,19.8,56,756,1,19.8,10.7
2023-08-31T21:55:00-04:00,2023-08-31 21:55:00,27.5,31.3,24.3,1.8,1.8,27.7,60,0,58.4,58.4,61.7,226.3,421.6,761.6,83,0,0,19.9,56,755.7,1,19.9,10.8
2023-08-31T21:50:00-04:00,2023-08-31 21:50:00,27.4,31,24.2,1.4,1.8,27.7,73,0,58.4,58.4,61.7,226.3,421.6,761.8,83,0,0,19.8,55,755.9,1,19.8,10.4
2023-08-31T21:47:00-04:00,2023-08-31 21:47:00,27.4,31,24.2,2.1,3.5,27.7,85,0,58.4,58.4,61.7,226.3,421.6,761.7,83,0,0,19.9,56,755.9,1,19.9,10.8
2023-08-31T21:40:00-04:00,2023-08-31 21:40:00,27.4,30.9,24,1.4,1.8,27.7,86,0,58.4,58.4,61.7,226.3,421.6,761.8,82,0,0,19.9,56,756,1,19.9,10.8
2023-08-31T21:35:00-04:00,2023-08-31 21:35:00,27.5,31.1,24.1,1.1,1.8,27.7,58,0,58.4,58.4,61.7,226.3,421.6,761.6,82,0,0,19.9,56,755.8,1,19.9,10.8
2023-08-31T21:30:00-04:00,2023-08-31 21:30:00,27.5,31.1,24.1,1.8,3.5,27.7,69,0,58.4,58.4,61.7,226.3,421.6,761.5,82,0,0,19.9,56,755.6,1,19.9,10.8
2023-08-31T21:25:00-04:00,2023-08-31 21:25:00,27.5,31.1,24.1,1.4,1.8,27.7,70,0,58.4,58.4,61.7,226.3,421.6,761.6,82,0,0,19.9,56,755.7,1,19.9,10.8
2023-08-31T21:20:00-04:00,2023-08-31 21:20:00,27.5,31,23.9,2.6,3.5,27.7,58,0,58.4,58.4,61.7,226.3,421.6,761.6,81,0,0,19.9,55,755.7,1,19.9,10.6
2023-08-31T21:15:00-04:00,2023-08-31 21:15:00,27.5,31,23.9,0.3,1.8,27.7,84,0,58.4,58.4,61.7,226.3,421.6,761.6,81,0,0,20,55,755.7,1,20,10.7
2023-08-31T21:10:00-04:00,2023-08-31 21:10:00,27.6,31.3,24,2.9,5.5,27.7,57,0,58.4,58.4,61.7,226.3,421.6,761.5,81,0,0,20,55,755.6,1,20,10.7
2023-08-31T21:05:00-04:00,2023-08-31 21:05:00,27.6,31.1,23.8,2.6,3.5,27.7,57,0,58.4,58.4,61.7,226.3,421.6,761.3,80,0,0,20,55,755.5,1,20,10.7
2023-08-31T21:00:00-04:00,2023-08-31 21:00:00,27.6,31,23.6,0,0,27.7,92,0,58.4,58.4,61.7,226.3,421.6,761.3,79,0,0,20.1,55,755.4,1,19.6,10.8
2023-08-31T20:55:00-04:00,2023-08-31 20:55:00,27.6,31,23.6,1.1,1.8,27.7,85,0,58.4,58.4,61.7,226.3,421.6,761.1,79,0,0,20.1,55,755.3,1,19.6,10.8
2023-08-31T20:50:00-04:00,2023-08-31 20:50:00,27.7,31.3,23.7,0.3,1.8,27.7,73,0,58.4,58.4,61.7,226.3,421.6,761.2,79,0,0,20.1,55,755.3,1,19.6,10.8
2023-08-31T20:45:00-04:00,2023-08-31 20:45:00,27.8,31.4,23.8,2.1,3.5,27.7,58,0,58.4,58.4,61.7,226.3,421.6,761.3,79,0,0,20.1,55,755.5,1,19.6,10.8
